ID,Link,Name,Rating,Price,Cuisines
40,https://www.swiggy.com/restaurants/trattoria-by-toscano-1st-block-jayanagar-bangalore-317438,Trattoria by Toscano,4.3,900 for two,"Italian, Pizzas"
41,https://www.swiggy.com/restaurants/nandhini-deluxe-lalbagh-fort-road-basavanagudi-bangalore-41105,Nandhini Deluxe,4.2,550 for two,"Andhra, Chinese"
42,https://www.swiggy.com/restaurants/rolls-kitchen-longford-road-shanti-nagar-bangalore-6518,Rolls Kitchen,4.4,200 for two,Fast Food
43,https://www.swiggy.com/restaurants/empire-juices-and-desserts-gandhi-nagar-majestic-bangalore-280474,Empire Juices and Desserts,4.2,200 for two,"Ice Cream, Juices"
44,https://www.swiggy.com/restaurants/wendys-kmk-towers-residency-road-bangalore-396753,Wendy&#39;s,4.1,200 for two,"Fast Food, Snacks"
45,https://www.swiggy.com/restaurants/noto-healthy-ice-cream-vishweshwarapura-jayanagar-bangalore-582902,NOTO - Healthy Ice Cream,4.3,250 for two,"Ice Cream, Desserts"
46,https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,New Shanti Sagar,4.2,200 for two,"South Indian, Chinese"
47,https://www.swiggy.com/restaurants/boba-tree-race-course-road-sampangi-rama-nagar-bangalore-640020,Boba Tree,4.3,500 for two,Beverages
48,https://www.swiggy.com/restaurants/chungs-chinese-corner-3rd-block-jayanagar-bangalore-300512,Chungs Chinese Corner,4.1,450 for two,"Chinese, Snacks"
49,https://www.swiggy.com/restaurants/subway-bull-temple-road-basavanagudi-bangalore-1452,Subway,4.2,350 for two,"Salads, Snacks"
50,https://www.swiggy.com/restaurants/udupi-aatithya-chikkanna-garden-basavanagudi-bangalore-474587,Udupi Aatithya,4.3,500 for two,"South Indian, Beverages"
51,https://www.swiggy.com/restaurants/eatfit-ali-asker-road-cunningham-road-bangalore-393107,EatFit,4.3,270 for two,"Chinese, Healthy Food"
52,https://www.swiggy.com/restaurants/chai-point-2nd-stage-banashankari-bangalore-95121,Chai Point,4.3,150 for two,"Bakery, Beverages"
53,https://www.swiggy.com/restaurants/natural-ice-cream-7th-block-jayanagar-bangalore-29672,Natural Ice Cream,4.6,150 for two,"Ice Cream, Desserts"
54,https://www.swiggy.com/restaurants/starbucks-coffee-ashok-nagar-lavelle-road-bangalore-124178,Starbucks Coffee,4.3,400 for two,"Beverages, Cafe"
55,https://www.swiggy.com/restaurants/aromas-of-biryani-jayanagar-bangalore-576474,Aromas of Biryani,4.1,600 for two,Biryani
56,https://www.swiggy.com/restaurants/wefit-bowls-salads-and-sandwiches-vv-puram-azad-nagar-bangalore-643793,"WeFit-Bowls, Salads &amp; Sandwiches",4.2,250 for two,"Healthy Food, Salads"
57,https://www.swiggy.com/restaurants/mtr-gandhinagar-majestic-bangalore-49095,MTR,4.4,300 for two,South Indian
58,https://www.swiggy.com/restaurants/faasos-signature-wraps-and-rolls-rashtriya-vidyalaya-rd-jayanagar-bangalore-566296,Faasos Signature Wraps &amp; Rolls,4.4,350 for two,"Fast Food, Snacks"
59,https://www.swiggy.com/restaurants/punjabi-dhaba-gandhi-nagar-majestic-bangalore-393897,Punjabi Dhaba,4.2,350 for two,Punjabi
60,https://www.swiggy.com/restaurants/mojo-pizza-2x-toppings-vv-puram-basavanagudi-bangalore-622161,MOJO Pizza - 2X Toppings,4.2,250 for two,"Pizzas, Italian"
61,https://www.swiggy.com/restaurants/five-star-chicken-hanumanthanagar-banashankari-bangalore-738953,Five Star Chicken,4.5,300 for two,"Snacks, Burgers"
62,https://www.swiggy.com/restaurants/leancrust-pizza-thincrust-experts-azad-nagar-mysore-road-bangalore-681571,LeanCrust Pizza- ThinCrust Experts,4.3,300 for two,"Pizzas, Italian"
63,https://www.swiggy.com/restaurants/mealful-rolls-indias-biggest-rolls-azad-nagar-city-market-bangalore-425572,Mealful Rolls - India&#39;s Biggest Rolls,4.6,250 for two,"Fast Food, Snacks"
64,https://www.swiggy.com/restaurants/nh1-bowls-highway-to-north-azad-nagar-mysore-road-bangalore-425576,NH1 Bowls - Highway To North,4.5,250 for two,"North Indian, Punjabi"
65,https://www.swiggy.com/restaurants/la-pinoz-pizza-gandhi-bazaar-main-road-basavanagudi-bangalore-424558,La Pino&#39;z Pizza,4,220 for two,"Pizzas, Pastas"
66,https://www.swiggy.com/restaurants/shyamjis-chole-bhature-3st-block-rajajinagar-bangalore-537147,Shyamji&#39;s Chole Bhature,4.2,300 for two,"Indian, Snacks"
67,https://www.swiggy.com/restaurants/kapoors-cafe-jayanagar-bangalore-102324,Kapoor&#39;s Cafe,4.3,500 for two,North Indian
68,https://www.swiggy.com/restaurants/iyengars-bakery-4th-t-block-jayanagar-bangalore-41904,Iyengars Bakery,4.4,50 for two,"Bakery, Ice Cream"
69,https://www.swiggy.com/restaurants/imperial-restaurant-byataranyapura-mysore-road-bangalore-85333,Imperial Restaurant,4.1,400 for two,"Chinese, South Indian"
70,https://www.swiggy.com/restaurants/india-sweet-house-4th-block-jayanagar-bangalore-601010,India Sweet House,4.2,100 for two,"Sweets, Snacks"
71,https://www.swiggy.com/restaurants/itc-sunfeast-baked-creations-west-of-chord-road-rajajinagar-bangalore-409529,ITC Sunfeast Baked Creations,4.6,600 for two,"Bakery, Desserts"
