Id,Link
64,https://www.swiggy.com/restaurants/nh1-bowls-highway-to-north-azad-nagar-mysore-road-bangalore-425576
65,https://www.swiggy.com/restaurants/la-pinoz-pizza-gandhi-bazaar-main-road-basavanagudi-bangalore-424558
66,https://www.swiggy.com/restaurants/shyamjis-chole-bhature-3st-block-rajajinagar-bangalore-537147
67,https://www.swiggy.com/restaurants/kapoors-cafe-jayanagar-bangalore-102324
68,https://www.swiggy.com/restaurants/iyengars-bakery-4th-t-block-jayanagar-bangalore-41904
69,https://www.swiggy.com/restaurants/imperial-restaurant-byataranyapura-mysore-road-bangalore-85333
70,https://www.swiggy.com/restaurants/india-sweet-house-4th-block-jayanagar-bangalore-601010
71,https://www.swiggy.com/restaurants/itc-sunfeast-baked-creations-west-of-chord-road-rajajinagar-bangalore-409529
72,https://www.swiggy.com/restaurants/bhatti-chicken-grilled-not-fried-vv-puram-basavanagudi-bangalore-616234
73,https://www.swiggy.com/restaurants/aahar-gandhi-nagar-majestic-bangalore-569800
74,https://www.swiggy.com/restaurants/bombay-kulfis-gandhi-bazaar-main-road-basavanagudi-bangalore-66424
75,https://www.swiggy.com/restaurants/minus-30-infantry-road-shivajinagar-bangalore-420143
76,https://www.swiggy.com/restaurants/big-mishra-pedha-3rd-phase-vijayanagar-bangalore-200916
77,https://www.swiggy.com/restaurants/a1-chips-jayanagar-bda-complex-jayanagar-bangalore-648337
78,https://www.swiggy.com/restaurants/krispy-kreme-2nd-stage-banashankari-bangalore-365932
79,https://www.swiggy.com/restaurants/prasuma-momo-kitchen-1st-main-road-rajajinagar-bangalore-694084
80,https://www.swiggy.com/restaurants/fb-cakes-magadi-main-road-vijay-nagar-bangalore-700433
81,https://www.swiggy.com/restaurants/great-indian-khichdi-by-eatfit-cunnigham-road-vasanth-nagar-bangalore-440123
82,https://www.swiggy.com/restaurants/grameen-kulfi-bashyam-circle-rajajinagar-bangalore-352790
83,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-rashtriya-vidyalaya-rd-jayanagar-bangalore-93497
84,https://www.swiggy.com/restaurants/al-bek-6th-block-rajajinagar-bangalore-252618
85,https://www.swiggy.com/restaurants/rnr-biryani-taste-of-1953-4th-block-jayanagar-bangalore-440897
86,https://www.swiggy.com/restaurants/itc-aashirvaad-soul-creations-rajajinagar-industrial-town-rajaji-nagar-bangalore-577804
87,https://www.swiggy.com/restaurants/holige-mane-bashyam-circle-rajajinagar-bangalore-164061
88,https://www.swiggy.com/restaurants/myfroyoland-premium-frozen-yogurt-4th-block-jayanagar-bangalore-510522
89,https://www.swiggy.com/restaurants/haagen-dazs-gopalapura-magadi-road-bangalore-464940
90,https://www.swiggy.com/restaurants/madno-house-of-sundaes-city-market-majestic-bangalore-439630
91,https://www.swiggy.com/restaurants/bikaner-sweets-4th-t-block-jayanagar-bangalore-424609
92,https://www.swiggy.com/restaurants/bangarpet-chats-4th-block-ramamandira-rajajinagar-bangalore-206516
93,https://www.swiggy.com/restaurants/cakewala-4th-block-jayanagar-bangalore-29071
94,https://www.swiggy.com/restaurants/goli-vada-pav-2nd-stage-banashankari-bangalore-336872
95,https://www.swiggy.com/restaurants/big-bite-pf-layout-vijayanagar-bangalore-32792
96,https://www.swiggy.com/restaurants/giani-ice-cream-4th-block-jayanagar-bangalore-604536
97,https://www.swiggy.com/restaurants/andhra-gunpowder-shivananda-circle-seshadripuram-bangalore-502957
98,https://www.swiggy.com/restaurants/home-plate-by-eatfit-vasanth-nagar-cunningham-road-bangalore-440151
99,https://www.swiggy.com/restaurants/hrx-by-eatfit-ali-asker-road-cunningham-road-bangalore-558773
100,https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-mantri-square-malleshwaram-bangalore-395257
101,https://www.swiggy.com/restaurants/the-betel-leaf-co-millars-road-vasanthanagar-bangalore-170528
102,https://www.swiggy.com/restaurants/cookie-man-gopalapura-basaveshwaranagar-bangalore-441300
103,https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-gt-world-mall-magadi-road-bangalore-476596
104,https://www.swiggy.com/restaurants/oven-story-pizza-rashtriya-vidyalaya-rd-jayanagar-bangalore-93499
105,https://www.swiggy.com/restaurants/istah-the-mediterranean-way-akkithimanahalli-santhi-nagar-bangalore-503961
106,https://www.swiggy.com/restaurants/kabab-magic-rv-road-basavanagudi-bangalore-108109
107,https://www.swiggy.com/restaurants/meghana-foods-jayanagar-bangalore-655
108,https://www.swiggy.com/restaurants/samosa-party-brigade-road-bangalore-312660
109,https://www.swiggy.com/restaurants/corner-house-ice-cream-basavanagudi-bangalore-427575
110,https://www.swiggy.com/restaurants/hotel-empire-majestic-bangalore-41102
111,https://www.swiggy.com/restaurants/box8-desi-meals-azad-nagar-mysore-road-bangalore-425570
112,https://www.swiggy.com/restaurants/goli-vada-pav-no-1-2nd-block-jayanagar-bangalore-2040
113,https://www.swiggy.com/restaurants/california-burrito-gandhi-bazaar-basavanagudi-bangalore-484182
114,https://www.swiggy.com/restaurants/polar-bear-ice-cream-sundaes-kavilakshmisha-road-basavanagudi-bangalore-5893
115,https://www.swiggy.com/restaurants/baskin-robbins-ice-cream-desserts-gt-world-mall-vijay-nagar-bangalore-476594
116,https://www.swiggy.com/restaurants/nandhana-palace-rajajinagar-bangalore-18975
117,https://www.swiggy.com/restaurants/frozen-bottle-milkshakes-desserts-and-ice-cream-magadi-road-bangalore-45008
118,https://www.swiggy.com/restaurants/ibaco-basavanagudi-m-n-krishna-rao-road-bangalore-49840
119,https://www.swiggy.com/restaurants/rolls-on-wheels-banashankari-bangalore-1469
120,https://www.swiggy.com/restaurants/beijing-bites-2nd-stage-banashankari-bangalore-8392
121,https://www.swiggy.com/restaurants/keventers-milkshakes-and-desserts-mantri-square-mall-malleshwaram-bangalore-349629
122,https://www.swiggy.com/restaurants/lassi-shop-rpc-layout-vijayanagar-bangalore-178838
123,https://www.swiggy.com/restaurants/churmur-chaat-co-rama-nagar-central-bangalore-bangalore-329938
